MID	DAY	SEX	AGE	GEN	PRE	ARE	JOB	MAR	CHI	q1	q2	q3s1	q3s2	q3s3	q3s4	q3s5	q4s1	q4s2	q4s3	q4s4	q4s5
1000003719	2020/10/09 20:58	2	46	5	13	3	7	1	2	2	4	6	6	3	3	5	2	2	2	2	2
1000020349	2020/10/10 08:20	2	47	5	14	3	8	2	1	2	4	3	6	6	6	2	1	2	3	3	3
1000031002	2020/10/09 18:16	1	47	5	14	3	4	1	2	1	4	1	1	6	2	6	2	2	1	2	2
1000036392	2020/10/09 19:59	1	45	5	13	3	4	2	1	1	4	4	6	1	4	6	1	2	2	2	2
1000040558	2020/10/09 17:59	2	38	4	29	5	8	2	1	2	3	1	6	1	5	5	3	3	3	3	3
1000049046	2020/10/09 18:43	1	49	5	28	5	4	2	1	1	4	1	6	6	6	6	1	3	2	3	1
1000052816	2020/10/10 08:37	2	45	5	11	3	9	2	1	2	4	1	6	4	5	5	4	4	3	3	3
1000052818	2020/10/09 18:21	1	42	5	14	3	3	2	2	1	4	2	1	1	5	5	1	2	2	1	1
1000103312	2020/10/09 18:25	1	40	5	13	3	3	1	2	1	4	1	1	1	1	1	3	3	1	1	2
1000126765	2020/10/09 20:35	1	42	5	28	5	5	1	2	1	4	1	1	6	6	6	3	4	2	2	2
1000132178	2020/10/09 19:50	1	46	5	23	4	3	1	2	1	4	6	1	6	2	6	1	2	2	2	2
1000135255	2020/10/09 18:12	1	38	4	26	5	3	2	1	1	3	1	1	6	1	4	1	1	1	1	1
1000136736	2020/10/09 19:25	1	47	5	15	4	4	2	2	1	4	1	1	6	6	6	3	3	3	3	3
1000150136	2020/10/09 17:58	1	44	5	26	5	3	1	2	1	4	3	1	6	3	5	2	3	2	2	2
1000192106	2020/10/09 18:46	2	38	4	36	7	9	2	1	2	3	1	6	1	4	6	4	4	2	3	3
1000263799	2020/10/09 22:58	1	38	4	43	8	11	1	2	1	3	2	6	1	2	4	1	1	2	3	3
1000280724	2020/10/10 13:57	2	41	5	23	4	8	2	2	2	4	1	6	6	6	5	3	3	2	2	2
1000341130	2020/10/09 21:41	2	46	5	8	3	9	2	1	2	4	1	6	1	4	6	3	3	2	2	2
1000382473	2020/10/09 17:58	1	45	5	24	5	4	1	2	1	4	1	6	4	5	6	3	3	2	2	2
1000410316	2020/10/09 20:26	1	48	5	11	3	7	2	1	1	4	4	6	6	5	6	2	3	2	2	2
1000476104	2020/10/09 18:53	1	49	5	14	3	3	2	1	1	4	1	2	3	4	5	3	3	2	2	2
1000499545	2020/10/09 18:42	2	31	4	23	4	5	2	1	2	3	2	6	4	4	5	3	3	1	2	2
1000507899	2020/10/09 22:01	1	43	5	14	3	5	1	2	1	4	4	6	4	1	5	2	2	2	2	3
1000525843	2020/10/09 19:16	1	48	5	3	2	1	1	2	1	4	1	1	2	3	6	4	4	3	3	2
1000555847	2020/10/09 22:49	1	45	5	11	3	9	1	2	1	4	6	6	6	1	6	3	3	2	2	2
1000878789	2020/10/09 18:37	2	49	5	12	3	8	2	1	2	4	2	6	6	1	3	1	2	3	3	3
1000882816	2020/10/09 20:40	2	47	5	27	5	3	1	2	2	4	6	6	6	3	6	4	4	4	4	4
1000890322	2020/10/09 20:51	2	30	4	11	3	4	1	2	2	3	1	1	1	1	6	3	3	3	3	2
1000921692	2020/10/09 22:42	2	44	5	23	4	1	2	2	2	4	1	1	6	6	6	2	3	1	1	1
