q4	media
2	TV
1	TV
2	TV
1	TV
3	TV
1	TV
4	TV
1	TV
3	TV
3	TV
1	TV
1	TV
3	TV
2	TV
4	TV
1	TV
3	TV
3	TV
3	TV
2	TV
3	TV
3	TV
2	TV
4	TV
3	TV
1	TV
4	TV
3	TV
2	TV
3	TV
2	TV
3	TV
4	TV
4	TV
3	TV
3	TV
1	TV
4	TV
2	TV
4	TV
1	TV
1	TV
1	TV
3	TV
1	TV
1	TV
3	TV
3	TV
4	TV
1	TV
3	TV
3	TV
2	TV
3	TV
3	TV
2	TV
3	TV
3	TV
2	TV
3	TV
2	TV
2	TV
4	TV
4	TV
3	TV
4	TV
1	TV
1	TV
2	TV
3	TV
3	TV
1	TV
2	TV
4	TV
1	TV
2	TV
3	TV
1	TV
2	TV
4	TV
3	TV
1	TV
3	TV
1	TV
3	TV
3	TV
1	TV
3	TV
3	TV
1	TV
3	TV
2	TV
1	TV
1	TV
3	TV
2	TV
3	TV
1	TV
4	TV
3	TV
2	TV
1	TV
3	TV
2	TV
2	TV
3	TV
2	TV
1	TV
2	TV
3	TV
1	TV
3	TV
3	TV
3	TV
1	TV
2	TV
1	TV
2	TV
4	TV
4	TV
2	TV
3	TV
2	TV
3	TV
1	TV
3	TV
3	TV
3	TV
4	TV
3	TV
1	TV
3	TV
3	TV
2	TV
3	TV
3	TV
3	TV
1	TV
2	TV
2	TV
2	TV
2	TV
3	TV
2	TV
3	TV
3	TV
3	TV
1	TV
2	TV
3	TV
3	TV
1	TV
3	TV
3	TV
3	TV
3	TV
3	TV
1	TV
3	TV
4	TV
3	TV
1	TV
1	TV
3	TV
4	TV
3	TV
3	TV
2	TV
1	TV
3	TV
1	TV
3	TV
1	TV
1	TV
2	TV
3	TV
1	TV
2	TV
2	TV
4	TV
4	TV
4	TV
3	TV
2	TV
2	TV
3	TV
4	TV
2	TV
2	TV
3	TV
3	TV
2	TV
4	TV
4	TV
1	TV
2	TV
3	TV
3	TV
2	TV
3	TV
1	TV
4	TV
3	TV
3	TV
1	TV
4	TV
2	TV
1	TV
3	TV
1	TV
3	TV
2	TV
4	TV
2	TV
2	TV
4	TV
4	TV
1	TV
4	TV
3	TV
3	TV
2	TV
2	TV
4	TV
3	TV
3	TV
2	TV
4	TV
4	TV
3	TV
3	TV
3	TV
1	TV
2	TV
1	TV
2	TV
4	TV
3	TV
3	TV
4	TV
2	TV
3	TV
2	TV
3	TV
3	TV
1	TV
1	TV
4	TV
3	TV
1	TV
1	TV
2	TV
2	TV
3	TV
3	TV
3	TV
3	TV
1	TV
3	TV
3	TV
2	TV
4	TV
4	TV
4	TV
1	TV
3	TV
2	TV
3	TV
4	TV
3	TV
2	TV
2	TV
3	TV
2	TV
4	TV
3	TV
3	TV
4	TV
2	TV
3	TV
1	TV
3	TV
1	TV
3	TV
4	TV
2	TV
1	TV
3	TV
3	TV
3	TV
2	TV
2	TV
4	TV
3	TV
3	TV
3	TV
3	TV
4	TV
1	TV
3	TV
2	NP
2	NP
2	NP
2	NP
3	NP
3	NP
4	NP
2	NP
3	NP
4	NP
2	NP
1	NP
3	NP
3	NP
4	NP
1	NP
3	NP
3	NP
3	NP
3	NP
3	NP
3	NP
2	NP
4	NP
3	NP
2	NP
4	NP
3	NP
3	NP
3	NP
3	NP
3	NP
