426200000003_Layout	426200000003_Layout	調査名	情報コンテンツの信頼度に関するアンケート	調査ID	4262000003	調査方法	インターネットリサーチ	商品種別	本調査	実施期間	2020年10月12日～	有効サンプル数	276	
質問番号	質問タイプ	アイテム名	ラベル	回答タイプ	カテゴリ数	カラム	選択肢番号	質問文／選択肢
		MID	MID	MID		1		回答者ID
		DAY	DAY	D		2		回答日時
SEX	S	SEX	SEX	SA	2	3		性別
							1	男性
							2	女性
AGE	NUM	AGE	AGE	NUM		4		年齢(歳)
GEN	S	GEN	GEN	SA	7	5		年齢
							1	15歳未満
							2	15歳～19歳
							3	20歳～29歳
							4	30歳～39歳
							5	40歳～49歳
							6	50歳～59歳
							7	60歳以上
PRE	S	PRE	PRE	SA	47	6		都道府県
							1	北海道
							2	青森県
							3	岩手県
							4	宮城県
							5	秋田県
							6	山形県
							7	福島県
							8	茨城県
							9	栃木県
							10	群馬県
							11	埼玉県
							12	千葉県
							13	東京都
							14	神奈川県
							15	新潟県
							16	富山県
							17	石川県
							18	福井県
							19	山梨県
							20	長野県
							21	岐阜県
							22	静岡県
							23	愛知県
							24	三重県
							25	滋賀県
							26	京都府
							27	大阪府
							28	兵庫県
							29	奈良県
							30	和歌山県
							31	鳥取県
							32	島根県
							33	岡山県
							34	広島県
							35	山口県
							36	徳島県
							37	香川県
							38	愛媛県
							39	高知県
							40	福岡県
							41	佐賀県
							42	長崎県
							43	熊本県
							44	大分県
							45	宮崎県
							46	鹿児島県
							47	沖縄県
ARE	S	ARE	ARE	SA	8	7		地域
							1	北海道
							2	東北地方
							3	関東地方
							4	中部地方
							5	近畿地方
							6	中国地方
							7	四国地方
							8	九州地方
JOB	S	JOB	JOB	SA	11	8		職業
							1	公務員
							2	経営者・役員
							3	会社員(事務系)
							4	会社員(技術系)
							5	会社員(その他)
							6	自営業
							7	自由業
							8	専業主婦
							9	パート・アルバイト
							10	学生
							11	その他
MAR	S	MAR	MAR	SA	2	9		未既婚
							1	未婚
							2	既婚
CHI	S	CHI	CHI	SA	2	10		子供の有無
							1	子供有り
							2	子供無し
Q1	MTS							あなたは情報コンテンツ（SNS、YouTube、食べログなど）の「文章（文字情報、テキスト）」中にどのような情報があるとその情報を信頼しますか（1/3）。
		Q1S1	q1s1	SA	5	11		サイト内で質問した際、情報発信者が質問を返してくれる。
							1	信頼しない
							2	やや信頼しない
							3	どちらでもない
							4	やや信頼する
							5	信頼する
		Q1S2	q1s2	SA	5	12		情報発信者の個人情報(氏名、連絡先など)が分かる。
							1	信頼しない
							2	やや信頼しない
							3	どちらでもない
							4	やや信頼する
							5	信頼する
		Q1S3	q1s3	SA	5	13		情報発信者の過去のコンテンツが多い。
							1	信頼しない
							2	やや信頼しない
							3	どちらでもない
							4	やや信頼する
							5	信頼する
		Q1S4	q1s4	SA	5	14		情報発信者が投稿している情報の専門家である。
							1	信頼しない
							2	やや信頼しない
							3	どちらでもない
							4	やや信頼する
							5	信頼する
		Q1S5	q1s5	SA	5	15		情報発信者の経歴が記されている。
							1	信頼しない
							2	やや信頼しない
							3	どちらでもない
							4	やや信頼する
							5	信頼する
		Q1S6	q1s6	SA	5	16		情報に引用や参考文献が記されている。
							1	信頼しない
							2	やや信頼しない
							3	どちらでもない
							4	やや信頼する
							5	信頼する
