MID	DAY	SEX	AGE	GEN	PRE	ARE	JOB	MAR	CHI	q1s1	q1s2	q1s3	q1s4	q1s5	q1s6	q1s7	q1s8	q1s9	q1s10	q1s11	q1s12	q1s13	q1s14	q1s15	q1s16	q1s17	q1s18	q1s19	q2s1	q2s2	q2s3	q2s4	q2s5	q2s6	q2s7	q2s8	q2s9	q2s10	q2s11	q2s12	q2s13	q2s14	q2s15	q2s16	q2s17	q2s18	q2s19	q3s1	q3s2	q3s3	q3s4	q3s5	q3s6	q3s7	q3s8	q3s9	q3s10	q3s11	q3s12	q3s13	q3s14	q3s15	q3s16	q3s17	q3s18	q3s19
1000009568	2020/10/12 18:46	2	42	5	13	3	9	1	2	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	2	3	3	3	3	3	3	3	3	3	3	3
1000019995	2020/10/12 16:47	1	42	5	29	5	4	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1000116965	2020/10/12 21:31	2	48	5	26	5	9	2	1	3	3	3	3	3	2	2	3	2	3	4	4	3	3	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3
1000149966	2020/10/12 20:52	2	36	4	1	1	7	2	1	4	3	3	3	3	4	4	3	3	2	3	2	4	3	4	3	3	2	3	4	3	3	4	3	4	4	3	3	3	3	3	4	3	4	5	4	3	3	4	3	4	4	3	4	4	3	3	3	3	3	4	3	4	4	4	3	3
1000161850	2020/10/12 19:50	2	36	4	28	5	4	1	2	4	3	4	4	4	4	4	3	3	4	4	1	3	3	4	4	3	3	3	4	3	3	3	4	4	3	3	3	3	4	1	3	3	4	4	3	3	3	3	3	3	4	4	4	4	3	3	3	4	1	3	3	4	4	3	3	3
1000271070	2020/10/12 20:55	2	46	5	11	3	8	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	2
1000282124	2020/10/12 19:56	2	45	5	23	4	8	2	1	4	3	3	3	4	3	3	3	5	4	3	3	3	3	3	3	3	3	3	4	3	4	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1000282836	2020/10/12 17:01	1	46	5	14	3	5	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	3	1	1	1
1000290870	2020/10/12 16:37	2	48	5	7	2	8	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1000295044	2020/10/12 20:41	2	40	5	21	4	8	2	1	2	2	3	4	3	4	3	3	4	3	3	3	3	4	4	4	3	3	3	3	3	3	4	3	4	4	3	4	3	3	3	3	4	4	4	4	4	3	3	3	3	3	3	3	3	3	4	3	3	3	3	4	3	4	4	3	3
1000384692	2020/10/12 17:28	2	45	5	14	3	8	2	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1000389472	2020/10/12 17:20	1	49	5	28	5	3	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1000701351	2020/10/12 18:31	2	39	4	12	3	9	1	2	4	4	4	4	4	4	4	3	3	3	2	3	4	4	3	3	2	3	3	4	4	4	4	4	3	4	3	3	3	2	3	4	4	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	2	2	4	3	3	3	4	3	3
1000782936	2020/10/12 18:30	1	49	5	7	2	2	2	1	3	1	3	2	2	2	4	3	3	4	3	3	4	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1001068988	2020/10/12 17:53	1	38	4	29	5	5	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1001093510	2020/10/12 17:06	1	48	5	40	8	5	2	1	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1001662727	2020/10/12 16:34	2	49	5	13	3	3	2	2	3	3	4	4	4	3	3	3	4	4	4	3	4	4	4	3	3	3	3	3	4	3	4	4	3	4	3	4	4	4	3	4	3	4	3	4	3	3	3	4	4	4	4	3	4	3	4	4	4	3	4	4	4	3	3	3	3
1001714765	2020/10/12 17:11	2	48	5	38	7	6	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3
1001799565	2020/10/12 21:05	2	49	5	2	2	8	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1001965732	2020/10/12 18:16	1	49	5	11	3	4	2	1	2	2	2	2	2	2	2	2	2	2	5	3	2	2	1	1	2	3	3	4	4	4	4	4	4	4	4	4	4	2	2	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	2	2	4	4	4	4	4	4	3
1001983064	2020/10/12 17:19	1	44	5	12	3	4	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
